id	Peptide IDs	Mod. Peptide IDs	Evidence IDs	MS/MS IDs	Oxidation (M) Site IDs	Phospho (STY) Site IDs	Oxidation (M) Site Positions	Phospho (STY) Site Positions	Protein IDs	Majority Protein IDs	Peptide Counts (all)	Peptide Counts (razor+unique)	Peptide Counts (unique)	Protein Names	Gene Names	Protein Descriptions	Proteins	Peptides	Razor + unique Peptides	Unique Peptides	Peptides MAPK1_E322K	Peptides MAPK1_WT	Razor + unique Peptides MAPK1_E322K	Razor + unique Peptides MAPK1_WT	Unique Peptides MAPK1_E322K	Unique Peptides MAPK1_WT	Sequence Coverage [%]	Unique + Razor Sequence Coverage [%]	Unique Sequence Coverage [%]	Mol. Weight [kDa]	Sequence Length	Experiment MAPK1_E322K	Experiment MAPK1_WT	PEP	Sequence Coverage MAPK1_E322K [%]	Sequence Coverage MAPK1_WT [%]	Intensity	Intensity MAPK1_E322K	Intensity MAPK1_WT	iBAQ	iBAQ MAPK1_E322K	iBAQ MAPK1_WT	LFQ Intensity MAPK1_E322K	LFQ Intensity MAPK1_WT	MS/MS Count MAPK1_E322K	MS/MS Count MAPK1_WT	Only identified by site	Reverse	Contaminant 
616	488;912	508;953	1124;1125;2139;2140	935;1809		980;981		1278;2101	Q96T58	Q96T58	2	2	2	Msx2-interacting protein;SMART/HDAC1-associated repressor protein;SPEN homolog	KIAA0929;MINT;SHARP;SPEN	>Q96T58|MINT_HUMAN Msx2-interacting protein |Homo sapiens	1	2	2	2	2	2	2	2	2	2	0.7	0.7	0.7	402.24	3664	2	2	0.00026571	0.7	0.7	0	0	0	0	0	0	0	0	0	0			
617	1306	1353	3070;3071;3072;3073	2642;2643		982		44	Q96TC7	Q96TC7	1	1	1	Cerebral protein 10;Protein FAM82A2;Protein FAM82C;Protein tyrosine phosphatase-interacting protein 51;Regulator of microtubule dynamics protein 3;TCPTP-interacting protein 51	FAM82A2;FAM82C;hucep-10;PTPIP51;UNQ3122/PRO10274	>Q96TC7|RMD3_HUMAN Regulator of microtubule dynamics protein 3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.8	3.8	3.8	52.118	470	2	2	0.0061261	3.8	3.8	0	0	0	0	0	0	0	0	0	0			
618	1598	1651	3731	3186		983;984		729;730	Q99575	Q99575	1	1	1	Ribonucleases P/MRP protein subunit POP1	KIAA0061;POP1	>Q99575|POP1_HUMAN Ribonucleases P/MRP protein subunit POP1 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2.1	2.1	2.1	114.71	1024		1	0.022787	0	2.1	0	0	0	0	0	0	0	0	0	0			
619	357	375	834;835;836	704;705		985		802	Q99590	Q99590	1	1	1	CTD-associated SR protein 11;Renal carcinoma antigen NY-REN-40;SC35-interacting protein 1;SFRS2-interacting protein;Splicing factor, arginine/serine-rich 2-interacting protein;Splicing regulatory protein 129	CASP11;SFRS2IP;SIP1	>Q99590|SCAFB_HUMAN Protein SCAF11 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.2	1.2	1.2	164.65	1463	1	2	0.0038128	1.2	1.2	0	0	0	0	0	0	0	0	0	0			
620	456	475	1058	888		986		293	Q99623	Q99623	1	1	1	B-cell receptor-associated protein BAP37;D-prohibitin;Prohibitin-2;Repressor of estrogen receptor activity	BAP;PHB2;REA	>Q99623|PHB2_HUMAN Prohibitin-2 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2.3	2.3	2.3	33.296	299		1	0.02085	0	2.3	0	0	0	0	0	0	0	0	0	0			
621	192	201	472;473	400		1518		741	Q99700	Q99700	1	1	1	Ataxin-2;Spinocerebellar ataxia type 2 protein;Trinucleotide repeat-containing gene 13 protein	ATX2;ATXN2;SCA2;TNRC13	>Q99700|ATX2_HUMAN Ataxin-2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.9	0.9	0.9	140.28	1313	1	1	0.061716	0.9	0.9	0	0	0	0	0	0	0	0	0	0	+		
622	995	1038	2350;2351	2012		987		125	Q99733	Q99733	1	1	1	Nucleosome assembly protein 1-like 4;Nucleosome assembly protein 2	NAP1L4;NAP2	>Q99733|NP1L4_HUMAN Nucleosome assembly protein 1-like 4 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	8.5	8.5	8.5	42.823	375	1	1	0.00020313	8.5	8.5	0	0	0	0	0	0	0	0	0	0			
623	72;1019;1655	73;1062;1710	160;161;2409;2410;3842;3843	126;2064;3283		988;989;990		151;197;329	Q99959	Q99959	3	3	3	Plakophilin-2	PKP2	>Q99959|PKP2_HUMAN Plakophilin-2 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	4.9	4.9	4.9	97.414	881	3	3	6.535E-07	4.9	4.9	0	0	0	0	0	0	0	0	0	0			
624	46	47	105;106	81		991		64	Q9BPX5	Q9BPX5	1	1	1	Actin-related protein 2/3 complex subunit 5-like protein;Arp2/3 complex 16 kDa subunit 2	ARPC5L	>Q9BPX5|ARP5L_HUMAN Actin-related protein 2/3 complex subunit 5-like protein |Homo sapiens	1	1	1	1	1	1	1	1	1	1	9.2	9.2	9.2	16.941	153	1	1	0.073952	9.2	9.2	0	0	0	0	0	0	0	0	0	0	+		
625	724	756	1708;1709	1469		1519		5	Q9BQA1	Q9BQA1	1	1	1	Androgen receptor cofactor p44;Methylosome protein 50;p44/Mep50;WD repeat-containing protein 77	HKMT1069;MEP50;Nbla10071;WDR77	>Q9BQA1|MEP50_HUMAN Methylosome protein 50 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.8	3.8	3.8	36.724	342	1	1	0.066481	3.8	3.8	0	0	0	0	0	0	0	0	0	0	+		
626	773;896	805;937	1817;1818;2104;2105	1556;1785		992		1267	Q9BQG0	Q9BQG0	2	2	2	Myb-binding protein 1A	MYBBP1A;P160	>Q9BQG0|MBB1A_HUMAN Myb-binding protein 1A |Homo sapiens	1	2	2	2	2	2	2	2	2	2	1.7	1.7	1.7	148.85	1328	2	2	2.7791E-05	1.7	1.7	0	0	0	0	0	0	0	0	0	0			
627	143;481;482;489;491;904	150;500;501;509;511;945	345;346;1106;1107;1108;1109;1126;1127;1130;1131;2126;2127	287;288;289;923;924;925;936;938;1798		993;994;995;1520;1521		135;159;239;271;325	Q9BRD0	Q9BRD0	6	6	6	BUD13 homolog	BUD13	>Q9BRD0|BUD13_HUMAN BUD13 homolog |Homo sapiens	1	6	6	6	6	6	6	6	6	6	9.9	9.9	9.9	70.52	619	6	6	3.3474E-43	9.9	9.9	0	0	0	0	0	0	0	0	0	0			
628	399	417	929;930	781		1522		302	Q9BRQ0	Q9BRQ0	1	1	1	Pygopus homolog 2	PP7910;PYGO2	>Q9BRQ0|PYGO2_HUMAN Pygopus homolog 2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.7	3.7	3.7	41.244	406	1	1	0.037752	3.7	3.7	0	0	0	0	0	0	0	0	0	0			
629	416	434	974;975	808;809		996		384	Q9BSQ5	Q9BSQ5	1	1	1	Cerebral cavernous malformations 2 protein;Malcavernin	C7orf22;CCM2;PP10187	>Q9BSQ5|CCM2_HUMAN Malcavernin |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2	2	2	48.836	444	1	1	0.00020648	2	2	0	0	0	0	0	0	0	0	0	0			
630	1075	1119	2540;2541	2163		997		106	Q9BST9	Q9BST9	1	1	1	Rhotekin	RTKN;RTKN1	>Q9BST9|RTKN_HUMAN Rhotekin |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2	2	2	62.667	563	1	1	0.09528	2	2	0	0	0	0	0	0	0	0	0	0	+		
631	1054	1097	2490;2491	2125		998		1456	Q9BTC0	Q9BTC0	1	1	1	Death-associated transcription factor 1;Death-inducer obliterator 1	C20orf158;DATF1;DIDO1;KIAA0333	>Q9BTC0|DIDO1_HUMAN Death-inducer obliterator 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.1	1.1	1.1	243.87	2240	1	1	1.6254E-14	1.1	1.1	0	0	0	0	0	0	0	0	0	0			
632	1073	1117	2534;2535	2157		999		36	Q9BTL3	Q9BTL3	1	1	1	Protein FAM103A1	C15orf18;FAM103A1	>Q9BTL3|RAM_HUMAN RNMT-activating mini protein |Homo sapiens	1	1	1	1	1	1	1	1	1	1	12.7	12.7	12.7	14.381	118	1	1	1.0036E-05	12.7	12.7	0	0	0	0	0	0	0	0	0	0			
633	212	221	527;528	455					Q9BTT0	Q9BTT0	1	1	1	Acidic leucine-rich nuclear phosphoprotein 32 family member E;LANP-like protein	ANP32E	>Q9BTT0|AN32E_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.1	4.1	4.1	30.692	268	1	1	3.2557E-50	4.1	4.1	485090	136550	348540	48509	13655	34854	0	348540	0	1			
634	1544	1593	3612;3613	3089		1000		47	Q9BTU6	Q9BTU6	1	1	1	Phosphatidylinositol 4-kinase type 2-alpha;Phosphatidylinositol 4-kinase type II-alpha	PI4K2A	>Q9BTU6|P4K2A_HUMAN Phosphatidylinositol 4-kinase type 2-alpha |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.4	4.4	4.4	54.022	479	1	1	0.0051233	4.4	4.4	0	0	0	0	0	0	0	0	0	0			
635	1055	1098	2492;2493	2126		1001;1523		217;219	Q9BU76	Q9BU76	1	1	1	Multiple myeloma tumor-associated protein 2	C1orf35;MMTAG2	>Q9BU76|MMTA2_HUMAN Multiple myeloma tumor-associated protein 2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	6.1	6.1	6.1	29.411	263	1	1	0.054014	6.1	6.1	0	0	0	0	0	0	0	0	0	0	+		
636	43	44	99;100	77		1002		308	Q9BUA3	Q9BUA3	1	1	1	Uncharacterized protein C11orf84	C11orf84	>Q9BUA3|CK084_HUMAN Uncharacterized protein C11orf84 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.4	3.4	3.4	41.036	381	1	1	0.0053785	3.4	3.4	0	0	0	0	0	0	0	0	0	0			
637	216;253	225;266	540;541;613	468;469;532		1003		14	Q9BUQ8	Q9BUQ8	2	2	2	100 kDa U5 snRNP-specific protein;DEAD box protein 23;Probable ATP-dependent RNA helicase DDX23;PRP28 homolog;U5-100kD	DDX23	>Q9BUQ8|DDX23_HUMAN Probable ATP-dependent RNA helicase DDX23 |Homo sapiens	1	2	2	2	1	2	1	2	1	2	1.3	1.3	1.3	95.581	820	1	2	2.1177E-07	1.1	1.3	0	0	0	0	0	0	0	0	0	0			
638	213	222	529;530	456		1004		16	Q9BVG9	Q9BVG9	1	1	1	Phosphatidylserine synthase 2;Serine-exchange enzyme II	PSS2;PTDSS2	>Q9BVG9|PTSS2_HUMAN Phosphatidylserine synthase 2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.1	3.1	3.1	56.252	487	1	1	0.048735	3.1	3.1	0	0	0	0	0	0	0	0	0	0	+		
639	121	128	288;289;290	223;224;225;226		1005		462	Q9BW04	Q9BW04	1	1	1	Specifically androgen-regulated gene protein	C1orf116;SARG	>Q9BW04|SARG_HUMAN Specifically androgen-regulated gene protein |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.2	4.2	4.2	63.964	601	1	2	2.9696E-05	4.2	4.2	0	0	0	0	0	0	0	0	0	0			
640	1442	1490	3382;3383	2907		1006		95	Q9BW61	Q9BW61	1	1	1	DET1- and DDB1-associated protein 1;Placenta cross-immune reaction antigen 1	C19orf58;DDA1;PCIA1	>Q9BW61|DDA1_HUMAN DET1- and DDB1-associated protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	9.8	9.8	9.8	11.835	102	1	1	0.030244	9.8	9.8	0	0	0	0	0	0	0	0	0	0			
641	770	802	1813;1814	1553		1007		312	Q9BWU0	Q9BWU0	1	1	1	Human lung cancer oncogene 3 protein;Kanadaptin;Kidney anion exchanger adapter protein;Solute carrier family 4 anion exchanger member 1 adapter protein	HLC3;SLC4A1AP	>Q9BWU0|NADAP_HUMAN Kanadaptin |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.3	2.3	2.3	88.813	796	1	1	0.0752	2.3	2.3	0	0	0	0	0	0	0	0	0	0	+		
642	1052	1095	2484;2485;2486;2487	2122;2123		1008;1524		112;114	Q9BX95	Q9BX95	1	1	1	Sphingosine-1-phosphatase 1;Sphingosine-1-phosphate phosphatase 1	SGPP1	>Q9BX95|SGPP1_HUMAN Sphingosine-1-phosphate phosphatase 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.9	2.9	2.9	49.107	441	2	2	1.8101E-26	2.9	2.9	0	0	0	0	0	0	0	0	0	0			
643	1079	1123	2547;2548	2169		1009		189	Q9BXB4	Q9BXB4	1	1	1	Oxysterol-binding protein-related protein 11	ORP11;OSBP12;OSBPL11	>Q9BXB4|OSB11_HUMAN Oxysterol-binding protein-related protein 11 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.1	2.1	2.1	83.642	747	1	1	0.0021228	2.1	2.1	0	0	0	0	0	0	0	0	0	0			
644	505;1542	525;1591	1161;1162;3607	963;3086		1010;1011;1012		307;356;357	Q9BXF6	Q9BXF6	2	2	2	Gamma-SNAP-associated factor 1;Phosphoprotein pp75;Rab11 family-interacting protein 5;Rab11-interacting protein Rip11	GAF1;KIAA0857;RAB11FIP5;RIP11	>Q9BXF6|RFIP5_HUMAN Rab11 family-interacting protein 5 |Homo sapiens	1	2	2	2	1	2	1	2	1	2	4.7	4.7	4.7	70.414	653	1	2	1.2395E-10	3.2	4.7	0	0	0	0	0	0	0	0	0	0			
645	591;1499	614;1548	1392;1393;3499;3500	1177;3000;3001		1525		544	Q9BXP5	Q9BXP5	2	2	2	Arsenite-resistance protein 2;Serrate RNA effector molecule homolog	ARS2;ASR2;SRRT	>Q9BXP5|SRRT_HUMAN Serrate RNA effector molecule homolog |Homo sapiens	1	2	2	2	2	2	2	2	2	2	3.8	3.8	3.8	100.67	876	2	2	7.1125E-05	3.8	3.8	0	0	0	0	0	0	0	0	0	0			
646	1161	1207	2721;2722;2723;2724	2306;2307;2308		1013		503	Q9BY44	Q9BY44	1	1	1	65 kDa eukaryotic translation initiation factor 2A;Eukaryotic translation initiation factor 2A	CDA02;EIF2A;MSTP004;MSTP089	>Q9BY44|EIF2A_HUMAN Eukaryotic translation initiation factor 2A |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.1	3.1	3.1	64.989	585	2	2	1.6566E-16	3.1	3.1	0	0	0	0	0	0	0	0	0	0			
647	1109	1155	2611;2612	2219		1014		126	Q9BY77	Q9BY77	1	1	1	46 kDa DNA polymerase delta interaction protein;Polymerase delta-interacting protein 3;S6K1 Aly/REF-like target	KIAA1649;PDIP46;POLDIP3	>Q9BY77|PDIP3_HUMAN Polymerase delta-interacting protein 3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.8	4.8	4.8	46.089	421	1	1	0.017307	4.8	4.8	0	0	0	0	0	0	0	0	0	0			
648	104;323;716;1063;1568;1615	108;340;748;1106;1619;1670	241;242;763;1689;1690;2510;2511;3665;3666;3772;3773	187;645;1453;1454;2139;3129;3130;3229		1015;1016;1017;1018;1019;1020;1021		402;404;749;1366;1488;1701;1757	Q9BY89	Q9BY89	6	6	6	Uncharacterized protein KIAA1671	KIAA1671	>Q9BY89|K1671_HUMAN Uncharacterized protein KIAA1671 |Homo sapiens	1	6	6	6	5	6	5	6	5	6	5.1	5.1	5.1	196.71	1806	5	6	2.5683E-13	4.3	5.1	0	0	0	0	0	0	0	0	0	0			
649	1607	1660	3753	3210		1526;1527		223;227	Q9BYG3	Q9BYG3	1	1	1	MKI67 FHA domain-interacting nucleolar phosphoprotein;Nucleolar phosphoprotein Nopp34;Nucleolar protein interacting with the FHA domain of pKI-67	MKI67IP;NIFK;NOPP34	>Q9BYG3|MK67I_HUMAN MKI67 FHA domain-interacting nucleolar phosphoprotein |Homo sapiens	1	1	1	1	0	1	0	1	0	1	9.6	9.6	9.6	34.222	293		1	9.9828E-11	0	9.6	0	0	0	0	0	0	0	0	0	0			
650	463	482	1071	895		1022		110	Q9BYG4	Q9BYG4	1	1	1	PAR6D;Partitioning defective 6 homolog gamma	PAR6G;PARD6G	>Q9BYG4|PAR6G_HUMAN Partitioning defective 6 homolog gamma |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2.7	2.7	2.7	40.883	376		1	0.017809	0	2.7	0	0	0	0	0	0	0	0	0	0			
651	803;1508	836;1557	1898;1899;3525;3526	1629;3020		1023;1528		150;583	Q9BZ95	Q9BZ95	2	2	2	Histone-lysine N-methyltransferase NSD3;Nuclear SET domain-containing protein 3;Protein whistle;WHSC1-like 1 isoform 9 with methyltransferase activity to lysine;Wolf-Hirschhorn syndrome candidate 1-like protein 1	DC28;NSD3;WHSC1L1	>Q9BZ95|NSD3_HUMAN Histone-lysine N-methyltransferase NSD3 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	1.5	1.5	1.5	161.61	1437	2	2	0.0027215	1.5	1.5	0	0	0	0	0	0	0	0	0	0			
652	686	717	1627	1398		1024		247	Q9BZD4	Q9BZD4	1	1	1	Cell division cycle-associated protein 1;Kinetochore protein Nuf2	CDCA1;NUF2;NUF2R	>Q9BZD4|NUF2_HUMAN Kinetochore protein Nuf2 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	1.9	1.9	1.9	54.303	464		1	0.06975	0	1.9	0	0	0	0	0	0	0	0	0	0	+		
653	1118	1164	2628;2629	2231		1529		560	Q9BZL4	Q9BZL4	1	1	1	Protein phosphatase 1 myosin-binding subunit of 85 kDa;Protein phosphatase 1 regulatory subunit 12C	LENG3;MBS85;PPP1R12C	>Q9BZL4|PP12C_HUMAN Protein phosphatase 1 regulatory subunit 12C |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2	2	2	84.88	782	1	1	0.069824	2	2	0	0	0	0	0	0	0	0	0	0	+		
654	1037	1080	2454;2455	2101		1025		197	Q9BZL6	Q9BZL6	1	1	1	nPKC-D2;Serine/threonine-protein kinase D2	HSPC187;PKD2;PRKD2	>Q9BZL6|KPCD2_HUMAN Serine/threonine-protein kinase D2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.6	1.6	1.6	96.749	878	1	1	4.1158E-10	1.6	1.6	0	0	0	0	0	0	0	0	0	0			
655	149	156	357;358;359;360	301;302;303;304		1026		464	Q9BZZ5	Q9BZZ5	1	1	1	Antiapoptosis clone 11 protein;Apoptosis inhibitor 5;Cell migration-inducing gene 8 protein;Fibroblast growth factor 2-interacting factor;Protein XAGL	API5;MIG8	>Q9BZZ5|API5_HUMAN Apoptosis inhibitor 5 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.5	2.5	2.5	59.004	524	2	2	1.7199E-20	2.5	2.5	0	0	0	0	0	0	0	0	0	0			
656	1480	1529	3461	2968	48		1738		Q9C091	Q9C091	1	1	1	GREB1-like protein	C18orf6;GREB1L;KIAA1772	>Q9C091|GRB1L_HUMAN GREB1-like protein |Homo sapiens	1	1	1	1	1	0	1	0	1	0	1	1	1	214.35	1923	1		0.10403	1	0	0	0	0	0	0	0	0	0	0	0	+		
657	1363	1411	3206;3207	2747		1027		432	Q9C0B5	Q9C0B5	1	1	1	Probable palmitoyltransferase ZDHHC5;Zinc finger DHHC domain-containing protein 5;Zinc finger protein 375	KIAA1748;ZDHHC5;ZNF375	>Q9C0B5|ZDHC5_HUMAN Palmitoyltransferase ZDHHC5 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.9	2.9	2.9	77.544	715	1	1	3.3782E-05	2.9	2.9	0	0	0	0	0	0	0	0	0	0			
658	459;500;789;890;891;899;998;1078;1183;1445;1605;1645	478;520;822;930;931;940;1041;1122;1229;1493;1658;1700	1063;1064;1149;1150;1868;2091;2092;2093;2112;2113;2114;2115;2359;2360;2545;2546;2769;2770;3389;3390;3747;3748;3824	891;950;1607;1777;1778;1789;1790;2019;2167;2168;2352;2353;2354;2914;2915;2916;2917;3200;3269		1028;1029;1030;1031;1032;1033;1034;1035;1036;1037;1038;1039		429;672;691;851;983;984;1029;1141;1297;1383;1545;1666	Q9C0C2	Q9C0C2	12	12	12	182 kDa tankyrase-1-binding protein	KIAA1741;TAB182;TNKS1BP1	>Q9C0C2|TB182_HUMAN 182 kDa tankyrase-1-binding protein |Homo sapiens	1	12	12	12	9	12	9	12	9	12	10.8	10.8	10.8	181.79	1729	10	13	3.5109E-102	8.2	10.8	0	0	0	0	0	0	0	0	0	0			
659	1634	1689	3803	3250	49	1040	1112	1111	Q9C0C9	Q9C0C9	1	1	1	Ubiquitin carrier protein O;Ubiquitin-conjugating enzyme E2 O;Ubiquitin-conjugating enzyme E2 of 230 kDa;Ubiquitin-protein ligase O	KIAA1734;UBE2O	>Q9C0C9|UBE2O_HUMAN Ubiquitin-conjugating enzyme E2 O |Homo sapiens	1	1	1	1	0	1	0	1	0	1	0.8	0.8	0.8	141.29	1292		1	0.10239	0	0.8	0	0	0	0	0	0	0	0	0	0	+		
660	698	729	1652	1421		1041;1530		686;689	Q9C0H6	Q9C0H6	1	1	1	Kelch-like protein 4	KIAA1687;KLHL4	>Q9C0H6|KLHL4_HUMAN Kelch-like protein 4 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	3.2	3.2	3.2	80.245	718		1	0.077837	0	3.2	0	0	0	0	0	0	0	0	0	0	+		
661	828	863	1960;1961	1680		1042		13	Q9GZP8	Q9GZP8	1	1	1	Hepatocyte growth factor activator inhibitor type 2-related small protein;Immortalization up-regulated protein	C19orf33;IMUP	>Q9GZP8|IMUP_HUMAN Immortalization up-regulated protein |Homo sapiens	1	1	1	1	1	1	1	1	1	1	30.2	30.2	30.2	10.897	106	1	1	0.016473	30.2	30.2	0	0	0	0	0	0	0	0	0	0			
662	980	1023	2320;2321	1986		1043;1044		14;15	Q9GZR2	Q9GZR2	1	1	1	Exonuclease XPMC2;Prevents mitotic catastrophe 2 protein homolog;RNA exonuclease 4	PMC2;REXO4;XPMC2H	>Q9GZR2|REXO4_HUMAN RNA exonuclease 4 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.3	3.3	3.3	46.671	422	1	1	0.074954	3.3	3.3	0	0	0	0	0	0	0	0	0	0	+		
663	1224	1271	2871;2872	2457		1045		93	Q9GZV5	Q9GZV5	1	1	1	Transcriptional coactivator with PDZ-binding motif;WW domain-containing transcription regulator protein 1	TAZ;WWTR1	>Q9GZV5|WWTR1_HUMAN WW domain-containing transcription regulator protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	7	7	7	44.101	400	1	1	0.0058514	7	7	0	0	0	0	0	0	0	0	0	0			
664	1281	1328	3018;3019	2602;2603		1046		157	Q9GZY8	Q9GZY8	1	1	1	Mitochondrial fission factor	AD030;AD033;C2orf33;GL004;MFF	>Q9GZY8|MFF_HUMAN Mitochondrial fission factor |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.3	2.3	2.3	38.464	342	1	1	0.022424	2.3	2.3	0	0	0	0	0	0	0	0	0	0			
665	163;1114;1465	172;1160;1514	403;2620;2621;3430	342;2226;2946		1047;1048;1049		508;582;610	Q9H0B6	Q9H0B6	3	3	3	Kinesin light chain 2	KLC2	>Q9H0B6|KLC2_HUMAN Kinesin light chain 2 |Homo sapiens	1	3	3	3	1	3	1	3	1	3	5.3	5.3	5.3	68.934	622	1	3	2.126E-11	2.1	5.3	0	0	0	0	0	0	0	0	0	0			
666	847	885	2004	1715	50	1050;1051;1531	279	289;294;296	Q9H0I2	Q9H0I2	1	1	1	Uncharacterized protein C16orf48	C16orf48;UNQ6410/PRO21183	>Q9H0I2|CP048_HUMAN Uncharacterized protein C16orf48 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	6.4	6.4	6.4	38.759	346		1	0.091404	0	6.4	0	0	0	0	0	0	0	0	0	0	+		
667	708;709	740;741	1676;1677;1678	1444;1445		1052		547	Q9H1B7	Q9H1B7	2	2	2	Enhanced at puberty protein 1	C14orf4;EAP1;KIAA1865;My039	>Q9H1B7|I2BPL_HUMAN Interferon regulatory factor 2-binding protein-like |Homo sapiens	1	2	2	2	2	1	2	1	2	1	2.8	2.8	2.8	82.658	796	2	1	9.3164E-05	2.8	2.8	0	0	0	0	0	0	0	0	0	0			
668	183;603;816;1206;1492;1627;1628	192;626;627;849;1252;1541;1682;1683	451;452;453;454;1416;1417;1418;1419;1420;1923;1924;1925;1926;2832;2833;3486;3487;3794;3795;3796	384;385;386;387;388;389;390;1197;1198;1199;1200;1201;1202;1203;1204;1205;1645;1646;2428;2429;2989;2990;2991;2992;2993;3243;3244		1053;1054;1055;1056;1532		19;58;179;181;214	Q9H1E3	Q9H1E3	7	7	7	Nuclear ubiquitous casein and cyclin-dependent kinases substrate;P1	JC7;NUCKS;NUCKS1	>Q9H1E3|NUCKS_HUMAN Nuclear ubiquitous casein and cyclin-dependent kinases substrate |Homo sapiens	1	7	7	7	6	7	6	7	6	7	31.7	31.7	31.7	27.296	243	8	12	1.3132E-74	31.7	31.7	0	0	0	0	0	0	0	0	0	0			
669	968	1011	2300;2301	1972		1057		463	Q9H3D4	Q9H3D4	1	1	1	Chronic ulcerative stomatitis protein;Keratinocyte transcription factor KET;p40;p51;Transformation-related protein 63;Tumor protein 63;Tumor protein p73-like	KET;P63;P73H;P73L;TP63;TP73L	>Q9H3D4|P63_HUMAN Tumor protein 63 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.8	2.8	2.8	76.785	680	1	1	7.3739E-17	2.8	2.8	0	0	0	0	0	0	0	0	0	0			
670	68	69	153	122		1058;1059		292;295	Q9H3Q1	Q9H3Q1	1	1	1	Binder of Rho GTPases 4;Cdc42 effector protein 4	BORG4;CDC42EP4;CEP4	>Q9H3Q1|BORG4_HUMAN Cdc42 effector protein 4 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	8.1	8.1	8.1	37.979	356		1	0.027838	0	8.1	0	0	0	0	0	0	0	0	0	0			
671	582	603	1360	1141		1060		58	Q9H410	Q9H410	1	1	1	Kinetochore-associated protein DSN1 homolog	C20orf172;DSN1;MIS13	>Q9H410|DSN1_HUMAN Kinetochore-associated protein DSN1 homolog |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2.2	2.2	2.2	40.067	356		1	0.043533	0	2.2	0	0	0	0	0	0	0	0	0	0			
672	267;719	280;751	640;641;1695;1696	552;1458		1061;1062;1063		2002;2037;2038	Q9H4A3	Q9H4A3	2	2	2	Erythrocyte 65 kDa protein;Kinase deficient protein;Protein kinase lysine-deficient 1;Protein kinase with no lysine 1;Serine/threonine-protein kinase WNK1	KDP;KIAA0344;PRKWNK1;WNK1	>Q9H4A3|WNK1_HUMAN Serine/threonine-protein kinase WNK1 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	1.8	1.8	1.8	250.79	2382	2	2	0.0027611	1.8	1.8	0	0	0	0	0	0	0	0	0	0			
673	457	476	1059;1060	889	51		340		Q9H4D5	Q9H4D5	1	1	1	Nuclear RNA export factor 3;TAP-like protein 3	NXF3;TAPL3	>Q9H4D5|NXF3_HUMAN Nuclear RNA export factor 3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.9	1.9	1.9	60.101	531	1	1	0.079865	1.9	1.9	3355300	529400	2825900	152510	24064	128450	0	2825900	0	1	+		
674	873	913	2061;2062	1755		1064		169	Q9H4L4	Q9H4L4	1	1	1	Sentrin/SUMO-specific protease SENP3;Sentrin-specific protease 3;SUMO-1-specific protease 3	SENP3;SSP3;SUSP3	>Q9H4L4|SENP3_HUMAN Sentrin-specific protease 3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.5	3.5	3.5	65.009	574	1	1	0.038445	3.5	3.5	0	0	0	0	0	0	0	0	0	0			
